popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,0.695,0.71,492813,0.231,0,0.176,-16.156,0.874,110.924,0.493
0,0.756,0.564,248221,0.275,0,0.313,-14.068,0.199,107.945,0.413
0,0.91,0.388,118600,0.448,0,0.349,-6.823,0.0558,90.92,0.679
0,0.776,0.363,180133,0.153,9.00E-06,0.355,-10.686,0.0346,73.134,0.352
0,0.715,0.569,978303,0.345,0,0.111,-12.506,0.484,88.225,0.351
0,0.778,0.61,199587,0.266,0,0.269,-15.15,0.924,84.943,0.633
0,0.398,0.633,211133,0.605,0.000169,0.109,-5.584,0.0288,90.014,0.727
0,0.761,0.672,69355,0.651,0.00445,0.109,-8.598,0.0278,109.982,0.813
0,0.616,0.714,292720,0.253,0,0.21,-15.703,0.892,125.097,0.504
1,0.962,0.168,195827,0.185,0.855,0.125,-17.834,0.0385,143.78,0.195
1,0.611,0.702,134093,0.509,0,0.9,-8.535,0.0685,92.235,0.77
6,0.525,0.6,61800,0.658,4.81E-05,0.131,-11.71,0.0537,120.984,0.334
0,0.876,0.468,259000,0.642,0.000381,0.177,-9.841,0.0408,111.132,0.758
0,0.847,0.494,367747,0.444,0,0.1,-6.797,0.0285,80.581,0.373
3,0.66,0.657,247600,0.626,6.03E-06,0.199,-8.672,0.0283,81.994,0.808
7,0.366,0.694,315693,0.376,0,0.146,-10.449,0.0298,79.027,0.59
0,0.357,0.61,255347,0.833,3.55E-05,0.248,-14.082,0.503,139.031,0.194
0,0.813,0.525,296373,0.607,2.95E-05,0.119,-9.787,0.0282,131.504,0.699
4,0.345,0.505,154493,0.522,0,0.207,-6.523,0.037,153.856,0.385
0,0.79,0.701,133982,0.347,3.16E-06,0.249,-10.82,0.627,104.997,0.571
11,0.0367,0.441,137733,0.643,0,0.0925,-7.819,0.043,72.354,0.736
0,0.744,0.193,234754,0.477,7.44E-05,0.173,-9.086,0.043,77.528,0.191
0,0.84,0.688,3435625,0.331,0,0.0673,-8.645,0.772,102.244,0.529
1,0.844,0.592,156267,0.632,0,0.0908,-4.17,0.144,87.819,0.748
0,0.987,0.429,89947,0.0478,0.959,0.102,-14.17,0.0468,82.388,0.111
0,0.414,0.642,154176,0.63,0,0.145,-5.814,0.187,149.973,0.19
0,0.636,0.615,234480,0.846,7.55E-05,0.0847,-4.381,0.0909,111.79,0.924
0,0.951,0.805,153973,0.156,0,0.175,-13.312,0.106,117.846,0.512
0,0.974,0.39,375258,0.196,8.05E-06,0.146,-18.037,0.0626,98.843,0.372
0,0.523,0.627,225307,0.422,0,0.136,-10.8,0.0262,74.05,0.387
1,0.506,0.653,66320,0.45,0,0.385,-7.184,0.0402,125.081,0.663
0,0.726,0.478,143933,0.461,2.95E-06,0.0776,-8.745,0.0771,174.504,0.768
0,0.962,0.518,249973,0.122,0,0.119,-15.349,0.0348,110.159,0.299
1,0.407,0.508,216720,0.377,0,0.111,-9.52,0.0319,75.2,0.587
2,0.678,0.333,372107,0.384,0.861,0.032,-12.059,0.0389,151.039,0.379
3,0.9,0.471,252547,0.498,0.0327,0.117,-9.02,0.029,112.398,0.719
0,0.0488,0.598,307867,0.704,0.229,0.0619,-11.439,0.0409,179.966,0.405
0,0.639,0.632,171356,0.86,6.55E-06,0.0768,-3.529,0.122,180.029,0.845
3,0.619,0.242,208733,0.312,1.40E-06,0.109,-10.82,0.0288,80.977,0.146
0,0.474,0.524,101000,0.182,0.139,0.258,-20.347,0.0417,121.235,0.478
0,0.529,0.643,2359123,0.415,0,0.536,-15.622,0.883,101.296,0.405
0,0.605,0.641,170373,0.49,0,0.333,-7.021,0.0329,103.356,0.939
0,0.228,0.684,203492,0.746,0,0.196,-5.847,0.0448,107.854,0.745
6,0.604,0.108,200053,0.196,0.327,0.388,-14.415,0.0361,167.96,0.0625
0,0.463,0.439,216155,0.609,0,0.112,-7.628,0.0286,114.019,0.198
0,0.738,0.571,167053,0.204,0,0.319,-15.638,0.878,173.591,0.673
0,0.743,0.559,181116,0.286,0,0.176,-17.038,0.302,95.182,0.439
1,0.237,0.662,182067,0.195,0,0.431,-14.405,0.846,77.648,0.58
10,0.629,0.659,158307,0.495,0,0.298,-13.879,0.0832,84.958,0.782
5,0.304,0.423,124067,0.454,0,0.288,-10.19,0.03,88.369,0.708
0,0.63,0.539,326800,0.462,0,0.164,-12.981,0.136,130.031,0.409
1,0.713,0.823,103178,0.633,0.000512,0.0536,-11.181,0.0343,115.222,0.973
1,0.741,0.428,175800,0.713,0,0.191,-8.41,0.0665,83.379,0.878
1,0.00759,0.794,207920,0.554,0.000614,0.143,-7.042,0.0566,107.998,0.687
1,0.463,0.188,67427,0.00154,0.881,0.11,-25.274,0.0473,65.472,0.539
0,0.78,0.606,159840,0.389,0,0.0529,-13.774,0.0316,94.089,0.848
2,0.989,0.375,80853,0.107,0.785,0.173,-18.659,0.0357,107.511,0.072
0,0.89,0.441,414213,0.214,8.59E-06,0.289,-9.759,0.0515,133.753,0.336
